Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
1870,335795,335813,335818,335825,335879,0,0.026367200000000004,18,-0.391113,23,0.727295,30,-0.14502,84,0.0219727,9.0,57.0,-0.32959,-0.032958999999999995,0,2,2,2,-1,335992,335994,335994,335994,335991,0.002197299999999996,0.11865199999999998,0.019774999999999987,0.010987000000000025,0.0,0.019774999999999987,0.11865199999999998,0.019774999999999987,0.010987000000000025,0.0,23,12,66,133,23,54,-0.41748019999999997,1.118408,-0.8723150000000001,0.16699270000000002,136,65,199,71,63
1871,335992,336012,336017,336024,336075,0,0.0285645,20,-0.272461,25,0.74707,32,-0.13403299999999999,83,0.0219727,10.0,57.5,-0.44824200000000003,-0.032958999999999995,0,-1,-1,-1,1,336188,336187,336187,336187,336189,-0.002197299999999996,-0.02416999999999997,-0.008788999999999936,0.004393999999999981,-0.0087891,-0.008788999999999936,-0.02416999999999997,-0.008788999999999936,0.004393999999999981,-0.0087891,25,12,63,132,25,51,-0.3010255,1.019531,-0.881103,0.1560057,199,136,195,63,-4
1872,336188,336207,336212,336219,336272,0,0.026367200000000004,19,-0.296631,24,0.7382810000000001,31,-0.129639,84,0.013183600000000002,9.5,57.5,-0.32959,-0.032958999999999995,0,-8,-4,-6,-29,336272,336264,336268,336266,336243,-0.013183600000000002,0.28344739999999996,-0.7207029,0.12304720000000001,-0.006591800000000001,-0.7207029,0.28344739999999996,-0.7207029,0.12304720000000001,-0.006591800000000001,24,12,65,11,24,53,-0.32299819999999996,1.034912,-0.86792,0.1428226,195,199,80,-4,-115
1873,336272,336283,336292,336297,336327,0,0.013183600000000002,11,-0.013183600000000002,20,0.0175781,25,-0.006591800000000001,55,0.006591800000000001,5.5,40.0,-0.057128899999999996,-0.0241699,0,7,3,5,30,336382,336389,336385,336387,336412,0.0109863,-0.3713374,0.7668459,-0.1340332,0.010986299999999997,0.7668459,-0.3713374,0.7668459,-0.1340332,0.010986299999999997,20,14,44,73,20,30,-0.026367200000000004,0.030761700000000003,-0.0241699,0.013183600000000002,80,195,113,-115,33
1874,336382,336400,336405,336412,336467,0,0.0241699,18,-0.384521,23,0.784424,30,-0.140625,85,0.0175781,9.0,57.5,-0.32959,-0.032958999999999995,0,2,2,2,1,336570,336572,336572,336572,336571,-0.0021972,0.11205999999999999,0.004394000000000009,-0.010985999999999996,-0.0021972,0.004394000000000009,0.11205999999999999,0.004394000000000009,-0.010985999999999996,-0.0021972,23,12,67,123,23,55,-0.4086909,1.168945,-0.925049,0.15820309999999999,113,80,190,33,77
1875,336570,336590,336595,336602,336656,0,0.0219727,20,-0.272461,25,0.788818,32,-0.151611,86,0.0153809,10.0,59.0,-0.44824200000000003,-0.026367200000000004,0,-7,-5,0,-36,336656,336649,336651,336656,336620,-0.006591800000000002,0.2548829,-0.7558590000000001,0.12084929999999999,-0.0043946,-0.7558590000000001,0.2548829,-0.7558590000000001,0.12084929999999999,-0.0043946,25,12,66,13,25,54,-0.2944337,1.061279,-0.940429,0.1669919,190,113,81,77,-109
1876,336656,336669,336676,336688,336706,0,0.0153809,13,-0.0175781,20,0.032958999999999995,32,-0.030761700000000003,50,0.0109863,6.5,41.0,-0.0944824,-0.026367200000000004,0,6,4,-1,35,336761,336767,336765,336760,336796,0.017578099999999996,-0.2834469,0.740479,-0.10766629999999999,0.0065918,0.740479,-0.2834469,0.740479,-0.10766629999999999,0.0065918,20,19,37,74,20,18,-0.032959,0.050537099999999995,-0.06372069999999999,0.041748,81,190,109,-109,28
1877,336761,336780,336785,336792,336846,0,0.032958999999999995,19,-0.301025,24,0.773438,31,-0.138428,85,0.0175781,9.5,58.0,-0.32959,-0.039550800000000004,0,0,0,0,5,336951,336951,336951,336951,336956,-0.015380899999999996,-0.079102,-0.024169999999999914,-0.008789000000000019,0.0,-0.024169999999999914,-0.079102,-0.024169999999999914,-0.008789000000000019,0.0,24,12,66,124,24,54,-0.333984,1.074463,-0.911866,0.15600609999999998,109,81,190,28,81
1878,336951,336970,336975,336982,337041,0,0.0175781,19,-0.380127,24,0.749268,31,-0.14721700000000001,90,0.0175781,9.5,60.5,-0.32959,-0.013183600000000002,0,0,0,1,-6,337144,337144,337144,337145,337138,0.0021973000000000027,-0.02416999999999997,-0.015381000000000089,0.026367000000000015,-0.004394499999999997,-0.015381000000000089,-0.02416999999999997,-0.015381000000000089,0.026367000000000015,-0.004394499999999997,24,12,71,122,24,59,-0.3977051,1.1293950000000001,-0.8964850000000001,0.16479510000000003,190,109,193,81,3
1879,337144,337163,337168,337176,337228,0,0.019775400000000002,19,-0.40429699999999996,24,0.733887,32,-0.12085,84,0.013183600000000002,9.5,58.0,-0.32959,-0.039550800000000004,0,-5,-6,-11,-19,337228,337223,337222,337217,337209,-0.0065918,0.38232429999999995,-0.7207034,0.1384281,-0.010986330000000002,-0.7207034,0.38232429999999995,-0.7207034,0.1384281,-0.010986330000000002,24,13,65,14,24,52,-0.42407239999999996,1.1381839999999999,-0.854737,0.1340336,193,190,78,3,-115
1880,337228,337242,337246,337249,337293,0,0.013183600000000002,14,-0.0219727,18,0.013183600000000002,21,0.0175781,65,0.00219727,7.0,43.0,-0.140625,-0.026367200000000004,0,5,6,10,28,337340,337345,337346,337350,337368,0.013183600000000002,-0.3493653,0.7316894,-0.15600609999999998,0.0,0.7316894,-0.3493653,0.7316894,-0.15600609999999998,0.0,18,7,51,66,18,44,-0.0351563,0.0351563,0.004394499999999997,-0.01538083,78,193,118,-115,40
1881,337340,337359,337364,337371,337433,0,0.026367200000000004,19,-0.371338,24,0.744873,31,-0.138428,93,0.00219727,9.5,62.0,-0.32959,-0.0153809,0,0,0,1,-2,337538,337538,337538,337539,337536,-0.006591800000000002,0.026366999999999974,-0.008789000000000047,-0.0065920000000000145,0.02636723,-0.008789000000000047,0.026366999999999974,-0.008789000000000047,-0.0065920000000000145,0.02636723,24,12,74,124,24,62,-0.3977052,1.116211,-0.883301,0.14062527,118,78,198,40,80
1882,337538,337557,337562,337570,337629,0,0.019775400000000002,19,-0.344971,24,0.736084,32,-0.14502,91,0.0285645,9.5,61.5,-0.32959,-0.0153809,0,6,10,10,-42,337594,337600,337604,337604,337552,-0.024169930000000003,0.344971,-0.7009276999999999,0.1186528,-0.002197299999999996,-0.7009276999999999,0.344971,-0.7009276999999999,0.1186528,-0.002197299999999996,24,13,72,-10,24,59,-0.3647464,1.081055,-0.881104,0.1735845,198,118,66,80,-132
1883,337594,337619,337628,337636,337643,0,-0.00439453,25,0.0,34,0.0351563,42,-0.026367200000000004,49,0.026367200000000004,12.5,45.5,-0.283447,-0.0175781,0,-6,-10,-12,40,337736,337730,337726,337724,337776,0.03295903,-0.344971,0.6657717,-0.1296388,0.0,0.6657717,-0.344971,0.6657717,-0.1296388,0.0,34,17,24,112,34,7,0.00439453,0.0351563,-0.06152350000000001,0.05273440000000001,66,198,132,-132,66
1884,337736,337755,337760,337766,337825,0,0.0285645,19,-0.344971,24,0.700928,30,-0.156006,89,0.026367200000000004,9.5,59.5,-0.32959,-0.026367200000000004,0,0,0,2,-5,337937,337937,337937,337939,337932,0.0021972000000000033,-0.004394000000000009,-0.02197300000000002,0.03955100000000002,-0.006591800000000002,-0.02197300000000002,-0.004394000000000009,-0.02197300000000002,0.03955100000000002,-0.006591800000000002,24,11,70,131,24,59,-0.3735355,1.045899,-0.856934,0.1823732,132,66,201,66,69
1885,337937,337956,337961,337969,338021,0,0.030761700000000003,19,-0.34936500000000004,24,0.678955,32,-0.11645499999999999,84,0.019775400000000002,9.5,58.0,-0.32959,-0.039550800000000004,0,0,0,-1,5,338142,338142,338142,338141,338147,-0.006591800000000002,-0.015380999999999978,-0.008788999999999936,0.010985999999999982,-0.0065918,-0.008788999999999936,-0.015380999999999978,-0.008788999999999936,0.010985999999999982,-0.0065918,24,13,65,140,24,52,-0.38012670000000004,1.02832,-0.79541,0.1362304,201,132,205,69,4
1886,338142,338161,338166,338173,338231,0,0.0241699,19,-0.364746,24,0.670166,31,-0.10546900000000001,89,0.013183600000000002,9.5,60.0,-0.32959,-0.013183600000000002,0,20,17,22,11,338246,338266,338263,338268,338257,-0.006591800000000002,0.36035147,-0.41088900000000006,0.10327173,0.013183600000000002,-0.41088900000000006,0.36035147,-0.41088900000000006,0.10327173,0.013183600000000002,24,12,70,54,24,58,-0.38891590000000004,1.034912,-0.7756350000000001,0.11865260000000001,205,201,121,4,-84
1887,338246,338285,338287,338299,338346,0,0.0175781,39,-0.00439453,41,0.259277,53,-0.00219727,100,0.026367200000000004,19.5,76.5,0.25708000000000003,0.026367200000000004,0,-20,-16,-21,-18,338346,338326,338330,338325,338328,0.008789100000000005,-0.38891647,0.441651,-0.11865273,-0.015380900000000005,0.441651,-0.38891647,0.441651,-0.11865273,-0.015380900000000005,41,14,61,19,41,47,-0.02197263,0.26367153,-0.26147426999999995,0.028564470000000005,121,205,84,-84,-37
1888,338346,338365,338371,338378,338428,0,0.026367200000000004,19,-0.393311,25,0.700928,32,-0.12085,82,0.0109863,9.5,57.0,-0.32959,-0.032958999999999995,0,-2,-3,-2,2,338553,338551,338550,338551,338555,-0.0021973000000000027,0.06152400000000002,0.013182999999999945,0.00439500000000001,0.013183600000000002,0.013182999999999945,0.06152400000000002,0.013182999999999945,0.00439500000000001,0.013183600000000002,25,13,63,142,25,50,-0.4196782,1.094239,-0.821778,0.1318363,84,121,204,-37,120
1889,338553,338570,338575,338583,338637,0,0.0241699,17,-0.331787,22,0.7141109999999999,30,-0.11645499999999999,84,0.0241699,8.5,57.0,-0.19775399999999999,-0.032958999999999995,0,3,4,3,-1,338750,338753,338754,338753,338749,0.0021973000000000027,-0.015380999999999978,0.0021980000000000333,-0.008789000000000005,-0.006591800000000002,0.0021980000000000333,-0.015380999999999978,0.0021980000000000333,-0.008789000000000005,-0.006591800000000002,22,13,67,133,22,54,-0.3559569,1.045898,-0.8305659999999999,0.1406249,204,84,201,120,-3
1890,338750,338770,338776,338783,338833,0,0.026367200000000004,20,-0.347168,26,0.716309,33,-0.125244,83,0.0175781,10.0,58.0,-0.44824200000000003,-0.039550800000000004,0,0,-1,-1,10,338950,338950,338949,338949,338960,0.0,0.061522999999999994,0.013183000000000056,0.0,-0.0175781,0.013183000000000056,0.061522999999999994,0.013183000000000056,0.0,-0.0175781,26,13,63,137,26,50,-0.37353519999999996,1.063477,-0.841553,0.1428221,201,204,199,-3,-2
1891,338950,338970,338975,338982,339043,0,0.026367200000000004,20,-0.285645,25,0.729492,32,-0.125244,93,0.0,10.0,62.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-5,339147,339146,339146,339146,339142,-0.004394500000000003,0.013183999999999974,-0.0021970000000000045,0.0021969999999999906,0.006591800000000001,-0.0021970000000000045,0.013183999999999974,-0.0021970000000000045,0.0021969999999999906,0.006591800000000001,25,12,73,123,25,61,-0.31201219999999996,1.015137,-0.854736,0.125244,199,201,196,-2,-3
1892,339147,339166,339171,339178,339235,0,0.0219727,19,-0.272461,24,0.727295,31,-0.123047,88,0.006591800000000001,9.5,59.5,-0.32959,-0.026367200000000004,0,0,0,0,-4,339338,339338,339338,339338,339334,0.004394500000000003,-0.08129899999999995,0.028564000000000034,-0.010985999999999982,0.008789099999999998,0.028564000000000034,-0.08129899999999995,0.028564000000000034,-0.010985999999999982,0.008789099999999998,24,12,69,122,24,57,-0.2944337,0.9997560000000001,-0.850342,0.1296388,196,199,191,-3,-5
1893,339338,339357,339362,339369,339422,0,0.026367200000000004,19,-0.35375999999999996,24,0.7558590000000001,31,-0.13403299999999999,84,0.0153809,9.5,57.5,-0.32959,-0.032958999999999995,0,0,0,0,4,339529,339529,339529,339529,339533,-0.006591800000000002,-0.03515600000000002,-0.019775000000000098,-0.013184000000000029,0.0021972,-0.019775000000000098,-0.03515600000000002,-0.019775000000000098,-0.013184000000000029,0.0021972,24,12,65,126,24,53,-0.38012719999999994,1.109619,-0.889892,0.1494139,191,196,191,-5,0
1894,339529,339548,339553,339560,339617,0,0.019775400000000002,19,-0.388916,24,0.736084,31,-0.14721700000000001,88,0.0175781,9.5,59.5,-0.32959,-0.026367200000000004,0,0,0,0,-5,339716,339716,339716,339716,339711,0.006591800000000002,0.017577999999999983,-0.004394999999999927,-0.004393999999999981,0.0021973000000000027,-0.004394999999999927,0.017577999999999983,-0.004394999999999927,-0.004393999999999981,0.0021973000000000027,24,12,69,118,24,57,-0.4086914,1.125,-0.883301,0.16479510000000003,191,191,187,0,-4
1895,339716,339735,339740,339747,339799,0,0.026367200000000004,19,-0.371338,24,0.731689,31,-0.151611,83,0.019775400000000002,9.5,57.0,-0.32959,-0.032958999999999995,0,11,16,30,0,339772,339783,339788,339802,339772,-0.028564470000000005,0.3823243,-0.7470699000000001,0.1340329,-0.019775400000000002,-0.7470699000000001,0.3823243,-0.7470699000000001,0.1340329,-0.019775400000000002,24,12,64,3,24,52,-0.3977052,1.103027,-0.8833,0.1713864,187,191,72,-4,-115
1896,339772,339802,339812,339833,339855,0,-0.00219727,30,0.0109863,40,-0.0153809,61,-0.0175781,83,0.0,15.0,72.0,0.371338,-0.006591800000000001,0,-11,-15,-29,7,339905,339894,339890,339876,339912,0.028564470000000005,-0.3867183,0.7492679,-0.1032719,0.026367200000000004,0.7492679,-0.3867183,0.7492679,-0.1032719,0.026367200000000004,40,31,53,69,40,22,0.013183569999999999,-0.0263672,-0.0021972,0.0175781,72,187,118,-115,46
1897,339905,339924,339930,339937,339995,0,0.026367200000000004,19,-0.375732,25,0.733887,32,-0.12085,90,0.026367200000000004,9.5,61.0,-0.32959,-0.0153809,0,-1,2,3,-46,339967,339966,339969,339970,339921,-0.030761730000000004,0.37353473000000004,-0.7053225,0.1010746,-0.004394500000000003,-0.7053225,0.37353473000000004,-0.7053225,0.1010746,-0.004394500000000003,25,13,71,-10,25,58,-0.4020992,1.109619,-0.854737,0.1472172,118,72,64,46,-54
1898,339967,339985,339994,340002,340011,0,-0.00439453,18,-0.00219727,27,0.0285645,35,-0.019775400000000002,44,0.0219727,9.0,39.5,-0.32959,-0.0241699,0,2,-2,-3,38,340096,340098,340094,340093,340134,0.03295903,-0.35375973000000005,0.7250975,-0.11206059999999998,-0.006591800000000002,0.7250975,-0.35375973000000005,0.7250975,-0.11206059999999998,-0.006591800000000002,27,17,26,105,27,9,0.00219726,0.03076177,-0.048339900000000005,0.0417481,64,118,127,-54,63
1899,340096,340116,340121,340128,340178,0,0.0285645,20,-0.355957,25,0.7536619999999999,32,-0.13183599999999998,82,0.0153809,10.0,57.0,-0.44824200000000003,-0.032958999999999995,0,0,0,0,6,340294,340294,340294,340294,340300,-0.002197299999999996,0.052734,-0.024169999999999914,0.0,0.0,-0.024169999999999914,0.052734,-0.024169999999999914,0.0,0.0,25,12,62,136,25,50,-0.3845215,1.109619,-0.8854979999999999,0.14721689999999998,127,64,198,63,71
1900,340294,340314,340319,340326,340382,0,0.026367200000000004,20,-0.303223,25,0.729492,32,-0.13183599999999998,88,0.0153809,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-9,-7,-5,-40,340382,340373,340375,340377,340342,-0.010986300000000004,0.2812503,-0.7075193000000001,0.11865239999999998,-0.00659184,-0.7075193000000001,0.2812503,-0.7075193000000001,0.11865239999999998,-0.00659184,25,12,68,11,25,56,-0.3295902,1.032715,-0.861328,0.14721689999999998,198,127,81,71,-117
1901,340382,340393,340400,340409,340430,0,0.0153809,11,-0.0219727,18,0.0219727,27,-0.013183600000000002,48,0.00878906,5.5,37.5,-0.057128899999999996,-0.0285645,0,7,5,4,36,340499,340506,340504,340503,340535,0.010986300000000004,-0.34057629999999994,0.6591793000000001,-0.09448240000000001,0.015380840000000002,0.6591793000000001,-0.34057629999999994,0.6591793000000001,-0.09448240000000001,0.015380840000000002,18,16,37,87,18,21,-0.0373536,0.0439454,-0.0351563,0.02197266,81,198,122,-117,41
1902,340499,340517,340522,340530,340583,0,0.026367200000000004,18,-0.36254899999999995,23,0.6811520000000001,31,-0.10766600000000001,84,0.0241699,9.0,57.5,-0.32959,-0.032958999999999995,0,-2,-1,-2,1,340709,340707,340708,340707,340710,-0.010986300000000004,-0.019775000000000043,0.0,-0.0021970000000000045,-0.0021972,0.0,-0.019775000000000043,0.0,-0.0021970000000000045,-0.0021972,23,13,66,142,23,53,-0.38891619999999993,1.043701,-0.7888180000000001,0.1318359,122,81,209,41,87
1903,340709,340725,340731,340738,340794,0,0.0153809,16,-0.382324,22,0.6811520000000001,29,-0.10986300000000002,85,0.0219727,8.0,57.0,-0.19775399999999999,-0.032958999999999995,0,3,3,3,5,340913,340916,340916,340916,340918,0.010986300000000004,0.0021970000000000045,0.07031299999999985,-0.015380999999999978,-0.004394600000000002,0.07031299999999985,0.0021970000000000045,0.07031299999999985,-0.015380999999999978,-0.004394600000000002,22,13,69,138,22,56,-0.3977049,1.063476,-0.7910150000000001,0.13183570000000003,209,122,207,87,-2
1904,340913,340932,340938,340945,341003,0,0.026367200000000004,19,-0.380127,25,0.7514649999999999,32,-0.125244,90,0.0175781,9.5,61.0,-0.32959,-0.0153809,0,-9,-10,-6,-34,341003,340994,340993,340997,340969,-0.008789100000000005,0.347168,-0.7294923,0.11206039999999999,-0.010986299999999997,-0.7294923,0.347168,-0.7294923,0.11206039999999999,-0.010986299999999997,25,13,71,10,25,58,-0.40649419999999997,1.131592,-0.876709,0.1428221,207,209,80,-2,-127
1905,341003,341013,341018,341029,341059,0,0.0175781,10,-0.032958999999999995,15,0.0219727,26,-0.013183600000000002,56,0.006591800000000001,5.0,41.0,-0.057128899999999996,-0.026367200000000004,0,9,9,5,32,341121,341130,341130,341126,341153,-0.0021972,-0.24389600000000003,0.7097163000000001,-0.1252444,0.004394499999999998,0.7097163000000001,-0.24389600000000003,0.7097163000000001,-0.1252444,0.004394499999999998,15,16,46,81,15,30,-0.050537099999999995,0.0549317,-0.0351563,0.019775400000000002,80,207,127,-127,47
1906,341121,341140,341145,341152,341209,0,0.0153809,19,-0.276855,24,0.731689,31,-0.138428,88,0.0109863,9.5,59.5,-0.32959,-0.026367200000000004,0,-10,-7,-2,-42,341209,341199,341202,341207,341167,-0.0043946,0.2570796,-0.7031245,0.11206079999999999,-0.006591769999999999,-0.7031245,0.2570796,-0.7031245,0.11206079999999999,-0.006591769999999999,24,12,69,9,24,57,-0.2922359,1.008544,-0.870117,0.1494143,127,80,81,47,-46
1907,341209,341218,341226,341238,341255,0,0.0109863,9,-0.019775400000000002,17,0.0285645,29,-0.026367200000000004,46,0.00439453,4.5,37.5,-0.037353500000000005,-0.0285645,0,11,8,3,42,341328,341339,341336,341331,341370,0.008789100000000003,-0.2834476,0.6855465,-0.1032718,0.013183569999999999,0.6855465,-0.2834476,0.6855465,-0.1032718,0.013183569999999999,17,20,37,93,17,17,-0.030761700000000003,0.048339900000000005,-0.0549317,0.030761730000000004,81,127,127,-46,46
1908,341328,341348,341353,341360,341416,0,0.019775400000000002,20,-0.303223,25,0.7141109999999999,32,-0.129639,88,0.0175781,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,0,0,0,1,341538,341538,341538,341538,341539,0.004394499999999999,0.05273500000000003,-0.0021969999999998935,0.006592000000000001,-0.004394499999999997,-0.0021969999999998935,0.05273500000000003,-0.0021969999999998935,0.006592000000000001,-0.004394499999999997,25,12,68,142,25,56,-0.3229984,1.017334,-0.84375,0.1472171,127,81,210,46,83
1909,341538,341558,341563,341570,341627,0,0.0241699,20,-0.250488,25,0.711914,32,-0.123047,89,0.013183600000000002,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,0,0,0,-1,341748,341748,341748,341748,341747,-0.0021972,-0.004394999999999982,-0.0021970000000000045,0.00439500000000001,0.0,-0.0021970000000000045,-0.004394999999999982,-0.0021970000000000045,0.00439500000000001,0.0,25,12,69,141,25,57,-0.2746579,0.962402,-0.8349610000000001,0.1362306,210,127,210,83,0
1910,341748,341768,341773,341780,341836,0,0.0219727,20,-0.25488299999999997,25,0.709717,32,-0.118652,88,0.013183600000000002,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-1,-1,-1,-2,341958,341957,341957,341957,341956,0.0021972,-0.07470700000000002,0.013182999999999945,-0.03735400000000001,0.004394499999999997,0.013182999999999945,-0.07470700000000002,0.013182999999999945,-0.03735400000000001,0.004394499999999997,25,12,68,141,25,56,-0.2768557,0.9646,-0.828369,0.1318356,210,210,209,0,-1
1911,341958,341977,341982,341989,342044,0,0.0241699,19,-0.32959,24,0.7229,31,-0.156006,86,0.0175781,9.5,58.5,-0.32959,-0.039550800000000004,0,0,0,0,-1,342165,342165,342165,342165,342164,0.0043945999999999985,0.008788999999999991,-0.019774999999999987,0.0,0.0021973000000000027,-0.019774999999999987,0.008788999999999991,-0.019774999999999987,0.0,0.0021973000000000027,24,12,67,140,24,55,-0.3537599,1.05249,-0.878906,0.17358410000000002,209,210,207,-1,-2
1912,342165,342184,342189,342196,342250,0,0.0285645,19,-0.320801,24,0.703125,31,-0.156006,85,0.019775400000000002,9.5,58.0,-0.32959,-0.039550800000000004,0,6,17,13,-36,342221,342227,342238,342234,342185,-0.03076177,0.3142092,-0.7185059,0.1318361,-0.0065918,-0.7185059,0.3142092,-0.7185059,0.1318361,-0.0065918,24,12,66,-4,24,54,-0.3493655,1.023926,-0.859131,0.1757814,207,209,73,-2,-134
1913,342221,342246,342262,342265,342270,0,-0.00219727,25,-0.006591800000000001,41,-0.0153809,44,-0.0241699,49,0.013183600000000002,12.5,46.5,-0.283447,-0.0175781,0,-7,-18,-14,36,342375,342368,342357,342361,342411,0.026367170000000002,-0.24169919999999998,0.7338869000000001,-0.1010741,0.0065918,0.7338869000000001,-0.24169919999999998,0.7338869000000001,-0.1010741,0.0065918,41,19,24,123,41,5,-0.004394530000000001,-0.008789099999999998,-0.008789000000000002,0.037353500000000005,73,207,136,-134,63
1914,342375,342393,342398,342405,342460,0,0.0241699,18,-0.24829099999999998,23,0.7185060000000001,30,-0.125244,85,0.019775400000000002,9.0,57.5,-0.32959,-0.032958999999999995,0,8,9,30,7,342515,342523,342524,342545,342522,-0.0109863,0.24169919999999998,-0.4372560000000001,0.0966795,0.6262206,-0.4372560000000001,0.24169919999999998,-0.4372560000000001,0.0966795,0.6262206,23,12,67,81,23,55,-0.2724609,0.9667970000000001,-0.8437500000000001,0.1450194,136,73,149,63,13
1915,342515,342541,342547,342575,342607,0,0.013183600000000002,26,-0.006591800000000001,32,0.28125,60,-0.0285645,92,0.645996,13.0,76.0,-0.138428,0.026367200000000004,0,-6,-7,-28,-4,342581,342575,342574,342553,342577,0.0109863,-0.34277320000000006,0.4064939999999999,-0.10107450000000001,-0.6284179,0.4064939999999999,-0.34277320000000006,0.4064939999999999,-0.10107450000000001,-0.6284179,32,34,66,-6,32,32,-0.019775400000000002,0.2878418,-0.3098145,0.6745605,149,136,59,13,-90
1916,342581,342601,342606,342613,342669,0,0.0241699,20,-0.34936500000000004,25,0.6877439999999999,32,-0.129639,88,0.0175781,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-9,-11,-15,-46,342669,342660,342658,342654,342623,-0.006591800000000002,0.30981420000000004,-0.6811521999999999,0.1406253,-0.013183569999999999,-0.6811521999999999,0.30981420000000004,-0.6811521999999999,0.1406253,-0.013183569999999999,25,12,68,11,25,56,-0.37353490000000006,1.037109,-0.817383,0.1472171,59,149,77,-90,18
1917,342669,342680,342683,342686,342711,0,0.0175781,11,-0.039550800000000004,14,0.006591800000000001,17,0.0109863,42,0.00439453,5.5,29.5,-0.057128899999999996,-0.06811519999999999,0,2,4,8,39,342798,342800,342802,342806,342837,-0.02636716,-0.2922362,0.6965332,-0.1340333,0.008789070000000003,0.6965332,-0.2922362,0.6965332,-0.1340333,0.008789070000000003,14,6,31,100,14,25,-0.0571289,0.046142600000000006,0.004394499999999998,-0.006591769999999999,77,59,133,18,56
1918,342798,342811,342816,342823,342879,0,-0.00878906,13,-0.331787,18,0.703125,25,-0.123047,81,0.013183600000000002,6.5,53.0,-0.0944824,-0.026367200000000004,0,-1,-1,1,-36,342879,342878,342878,342880,342843,0.02197266,0.3076171,-0.6855469,0.11865247000000001,-0.004394540000000002,-0.6855469,0.3076171,-0.6855469,0.11865247000000001,-0.004394540000000002,18,12,68,12,18,56,-0.32299794,1.034912,-0.826172,0.1362306,133,77,80,56,-53
1919,342879,342891,342896,342905,342924,0,0.013183600000000002,12,-0.0241699,17,0.0175781,26,-0.00439453,45,0.00878906,6.0,35.5,-0.0944824,-0.032958999999999995,0,5,5,3,41,343005,343010,343010,343008,343046,0.004394499999999997,-0.23730510000000002,0.7119139,-0.12744146999999997,0.010986340000000002,0.7119139,-0.23730510000000002,0.7119139,-0.12744146999999997,0.010986340000000002,17,14,33,98,17,19,-0.037353500000000005,0.041748,-0.02197263,0.013183589999999999,80,133,131,-53,51
1920,343005,343022,343027,343034,343091,0,0.0175781,17,-0.261475,22,0.729492,29,-0.13183599999999998,86,0.019775400000000002,8.5,57.5,-0.19775399999999999,-0.032958999999999995,0,-1,0,0,-2,343215,343214,343215,343215,343213,-0.0021972,-0.090088,-0.0021970000000000045,0.0,0.004394499999999999,-0.0021970000000000045,-0.090088,-0.0021970000000000045,0.0,0.004394499999999999,22,12,69,140,22,57,-0.2790531,0.990967,-0.861328,0.15161139999999998,131,80,210,51,79
1921,343215,343231,343237,343244,343299,0,0.0153809,16,-0.351563,22,0.727295,29,-0.13183599999999998,84,0.0241699,8.0,56.5,-0.19775399999999999,-0.0285645,0,2,1,2,2,343424,343426,343425,343426,343426,0.006591800000000002,0.028565000000000007,-0.039551000000000114,0.02416999999999997,-0.0021972,-0.039551000000000114,0.028565000000000007,-0.039551000000000114,0.02416999999999997,-0.0021972,22,13,68,143,22,55,-0.3669439,1.078858,-0.859131,0.15600589999999998,210,131,210,79,0
1922,343424,343442,343447,343455,343510,0,0.0219727,18,-0.322998,23,0.6877439999999999,31,-0.10766600000000001,86,0.0219727,9.0,58.5,-0.32959,-0.039550800000000004,0,2,2,1,3,343635,343637,343637,343636,343638,0.004394500000000003,0.07251000000000002,0.010986000000000162,-0.010985999999999982,-0.006591800000000002,0.010986000000000162,0.07251000000000002,0.010986000000000162,-0.010985999999999982,-0.006591800000000002,23,13,68,145,23,55,-0.3449707,1.010742,-0.79541,0.12963870000000002,210,210,213,0,3
1923,343635,343655,343660,343667,343724,0,0.026367200000000004,20,-0.250488,25,0.6987300000000001,32,-0.118652,89,0.0153809,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-1,-1,0,-2,343851,343850,343850,343851,343849,-0.0021973000000000027,-0.11865300000000001,-0.0021970000000001155,0.004393999999999995,0.0,-0.0021970000000001155,-0.11865300000000001,-0.0021970000000001155,0.004393999999999995,0.0,25,12,69,146,25,57,-0.27685519999999997,0.9492180000000001,-0.817382,0.13403289999999998,213,210,215,3,2
